tau [s],AS [V],ASD [V/√Hz],PSD [dB/Hz]
-3.7706163194444444e-07,0.04021561090568946,0.05755189743475425,-33.72709594962495
-3.765190972222222e-07,0.05665717400430879,0.08108114719146778,-32.23849356706767
-3.759765625e-07,0.018516246464072173,0.026498294900355518,-37.095513124046
-3.754340277777778e-07,0.06294905013582426,0.09008534734255708,-31.781150840695695
-3.748914930555556e-07,0.05503893931435838,0.07876531821849025,-32.364342095338564
-3.7434895833333334e-07,0.021493457026225755,0.03075893182855121,-36.44797991904517
-3.738064236111111e-07,0.02336362563754153,0.03343529928089582,-36.08564026523139
-3.732638888888889e-07,0.033339157639931706,0.047711118589099995,-34.54149642736327
-3.7272135416666666e-07,0.09089351660825976,0.13007621238404796,-30.18571359008523
-3.7217881944444443e-07,0.1156007067509957,0.16543426466703695,-29.141437760644642
-3.716362847222222e-07,0.029820848496285156,0.042676124406026236,-35.02584268987059
-3.7109375e-07,0.07461186734799728,0.10677581268372409,-31.042963558865885
-3.705512152777778e-07,0.06871151655383553,0.09833191798494613,-31.40074731215405
-3.7000868055555556e-07,0.05329035273913856,0.07626294481257981,-32.50455670384874
-3.6946614583333333e-07,0.05002696149579964,0.07159275943191844,-32.77900139518331
-3.689236111111111e-07,0.06020570216089459,0.08615938730551442,-31.974666395094417
-3.6838107638888887e-07,0.05447178017666673,0.07795366613148948,-32.40932696755573
-3.6783854166666664e-07,0.0670215311158557,0.09591340769994922,-31.508899201861706
-3.6729600694444447e-07,0.0355904501514052,0.05093290616855021,-34.257707842777876
-3.6675347222222224e-07,0.06347913176719086,0.09084393842182728,-31.74473287233078
-3.662109375e-07,0.026123444565134386,0.03738483062661627,-35.60073824066621
-3.656684027777778e-07,0.015019700549714606,0.021494445715745804,-38.00442991161726
-3.6512586805555555e-07,0.0550186789224151,0.07873632390576323,-32.36594107170431
-3.645833333333333e-07,0.14303859404637043,0.20470017260395582,-28.216510326048613
-3.640407986111111e-07,0.05891641961083124,0.08431431631406103,-32.06867918700215
-3.634982638888889e-07,0.03842164020207968,0.05498457555128891,-33.925283645620475
-3.629557291666667e-07,0.07875658700706166,0.11270725262314661,-30.808173780122857
-3.6241319444444445e-07,0.07059899817639809,0.10103306180211828,-31.283057270040512
-3.618706597222222e-07,0.047227549471252905,0.06758656705821169,-33.02908853693264
-3.61328125e-07,0.005650151214972171,0.008085838207891712,-42.250441943180775
-3.6078559027777777e-07,0.05886192955260079,0.08423633649050825,-32.07269770712313
-3.6024305555555554e-07,0.03853556652091621,0.055147613627029586,-33.912425172745685
-3.5970052083333336e-07,0.0411042734945832,0.05882364780776375,-33.63217288727022
-3.5915798611111113e-07,0.04588420792077547,0.06566413312293648,-33.15441026246994
-3.586154513888889e-07,0.14427292362442604,0.20646660130358524,-28.179194326538397
-3.5807291666666667e-07,0.07160313741711684,0.10247006890683646,-31.221722132147605
-3.5753038194444444e-07,0.09146134348733766,0.1308888200647326,-30.158666888158226
-3.569878472222222e-07,0.0802742364697236,0.11487913573644462,-30.72528081858296
-3.564453125e-07,0.13974240153311296,0.19998304586695131,-28.31776062794946
-3.5590277777777775e-07,0.051239974577551854,0.07332868244529088,-32.67495359714623
-3.553602430555556e-07,0.33511666919783445,0.4795799377405874,-24.519082344931604
-3.5481770833333335e-07,0.08881899530091084,0.12710739915908545,-30.285984090835342
-3.542751736111111e-07,0.30271984534119095,0.43321737748552064,-24.96063372472571
-3.537326388888889e-07,0.17511706117372727,0.25060713779484367,-27.337758050524755
-3.5319010416666666e-07,0.14880952903793743,0.21295886248227644,-28.044735231092808
-3.5264756944444443e-07,0.12798898160762398,0.18316292047719523,-28.699316818616474
-3.521050347222222e-07,0.1397530519549865,0.19999828751002222,-28.3174296444294
-3.515625e-07,0.006845597083178565,0.009796621071719394,-41.41692931380418
-3.510199652777778e-07,0.1771728128833187,0.2535490901580487,-27.28707185012849
-3.5047743055555556e-07,0.09188438293166346,0.13149422483572537,-30.138625622302463
-3.4993489583333333e-07,0.12851401377786253,0.18391428535593293,-28.681537775337816
-3.493923611111111e-07,0.08161794334130376,0.11680209247672418,-30.653186183563648
-3.488498263888889e-07,0.138131732314283,0.19767804371490633,-28.368108069679558
-3.4830729166666664e-07,0.08388940561745546,0.1200527446737172,-30.53397148018455
-3.4776475694444447e-07,0.1460390871462197,0.2089941287878163,-28.126351556942947
-3.4722222222222224e-07,0.10540439333243591,0.15084248871580946,-29.542455523479887
-3.466796875e-07,0.07375494510146156,0.10554948539112523,-31.093131212298776
-3.461371527777778e-07,0.10432993921453637,0.14930485515015957,-29.586953109640156
-3.4559461805555555e-07,0.12171379261686245,0.17418260101799452,-28.91764470009653
-3.450520833333333e-07,0.08765967832507897,0.12544831975721055,-30.343043926754063
-3.445095486111111e-07,0.19292515456533774,0.27609200651375937,-26.917154084496694
-3.439670138888889e-07,0.056144902577492495,0.08034804400216088,-32.27793932730408
-3.434244791666667e-07,0.16674588112905453,0.2386272801105058,-27.550491503120828
-3.4288194444444446e-07,0.0713075237859641,0.10204702111526329,-31.239689098476447
-3.423394097222222e-07,0.13100454873797832,0.18747844885747442,-28.59817889830306
-3.41796875e-07,0.047019206962768845,0.06728841153080484,-33.04828965378655
-3.4125434027777777e-07,0.1836261825510007,0.2627844010450069,-27.13169659654403
-3.4071180555555554e-07,0.05032865448521016,0.07202450729281894,-32.75288945436989
-3.401692708333333e-07,0.06087068149572278,0.08711102826315181,-31.92696101261784
-3.3962673611111113e-07,0.12845502169370415,0.1838298627573329,-28.683531785007425
-3.390842013888889e-07,0.1225936276370298,0.17544171840300515,-28.88636368981885
-3.3854166666666667e-07,0.08442748218649661,0.12082277717642174,-30.506204274661805
-3.3799913194444444e-07,0.14191423869341138,0.2030911262039032,-28.250782935655
-3.374565972222222e-07,0.03635449917669928,0.052026324126118226,-34.16546099178495
-3.369140625e-07,0.06242837798515624,0.08934022201591087,-31.817222140807765
-3.3637152777777775e-07,0.09195448269366452,0.13159454344887156,-30.135313597808434
-3.358289930555556e-07,0.04352405637313495,0.062286559172392134,-33.38374901179975
-3.3528645833333335e-07,0.010971983131625306,0.01570182408338893,-39.36819134067591
-3.347439236111111e-07,0.08702822600452745,0.12454465875669651,-30.374441344209828
-3.342013888888889e-07,0.0080820366548966,0.011566069348476036,-40.6958344952409
-3.3365885416666666e-07,0.09673241053657992,0.13843215717581417,-29.915322549452284
-3.3311631944444443e-07,0.088065021748242,0.12602840004420254,-30.323008186291013
-3.325737847222222e-07,0.0481668135620409,0.06893073240594064,-32.94356348462157
-3.3203125e-07,0.034645885343080524,0.049581155051386674,-34.3745260151529
-3.314887152777778e-07,0.057498036404659905,0.08228449150308938,-32.17451251810513
-3.3094618055555556e-07,0.10237917443870462,0.14651314785616154,-29.668926421333552
-3.3040364583333334e-07,0.06835151149704943,0.09781672068624701,-31.42356142495823
-3.298611111111111e-07,0.0527872139346369,0.07554291116843025,-32.5457552441103
-3.293185763888889e-07,0.1172099963905236,0.16773729252589809,-29.081396127439973
-3.2877604166666665e-07,0.04233347575502801,0.06058273888773239,-33.50420337987078
-3.2823350694444447e-07,0.012505088629798797,0.01789582607416948,-38.800174911753814
-3.2769097222222224e-07,0.03743294608716936,0.053569671711357084,-34.03850256552857
-3.271484375e-07,0.03647738757036959,0.05220218767932947,-34.15080537752268
-3.266059027777778e-07,0.04050080338771687,0.05796003169170476,-33.696406272011366
-3.2606336805555555e-07,0.053576484980750974,0.07667242394397164,-32.48130048082848
-3.255208333333333e-07,0.16509858981271014,0.23626986867876745,-27.593609015559576
-3.249782986111111e-07,0.0652738474686396,0.09341232645941165,-31.62365053029709
-3.2443576388888886e-07,0.13764706333506277,0.19698444193306833,-28.383373150480192
-3.238932291666667e-07,0.04107373664231515,0.058779947022170015,-33.63540051155147
-3.2335069444444446e-07,0.17688069977020626,0.25313105190010404,-27.29423817597293
-3.2280815972222223e-07,0.02895086612232802,0.04143110698049357,-35.15442704279547
-3.22265625e-07,0.22741271867368396,0.3254465906575316,-26.202895151854616
-3.2172309027777777e-07,0.042204414566223855,0.06039804154922166,-33.517463849338014
-3.2118055555555554e-07,0.17190611534742106,0.24601200618544217,-27.418129388634984
-3.206380208333333e-07,0.036402528632591545,0.052095058288228586,-34.15972713175222
-3.2009548611111113e-07,0.056446608194994745,0.08077980993491517,-32.254664144732764
-3.195529513888889e-07,0.08081879010367897,0.11565843745991261,-30.69591920757217
-3.190104166666667e-07,0.0973000705491254,0.1392445260565566,-29.889911101530565
-3.1846788194444444e-07,0.08581111388096685,0.12280286967220332,-30.435607258969362
-3.179253472222222e-07,0.10873713099230135,0.1556119146093344,-29.40726395271532
-3.173828125e-07,0.0768654311670005,0.11000085069391623,-30.913731976694464
-3.1684027777777776e-07,0.059273851584087184,0.08482583131536163,-32.04241116928593
-3.162977430555556e-07,0.11689934328509809,0.16729272199076026,-29.09292193916933
-3.1575520833333335e-07,0.020243809711189945,0.028970582168186307,-36.70812018962173
-3.152126736111111e-07,0.06421999318501215,0.09190417297680666,-31.694340101709543
-3.146701388888889e-07,0.027085729896377975,0.03876194129183967,-35.44363722024033
-3.1412760416666666e-07,0.05798463394842266,0.08298085322183367,-32.13791345468016
-3.1358506944444443e-07,0.11338573543103002,0.16226445574565732,-29.225458440313634
-3.130425347222222e-07,0.1510016407057201,0.21609595733247328,-27.981225991763647
-3.125e-07,0.06408150653642401,0.09170598701826636,-31.703715519890476
-3.119574652777778e-07,0.20501377510834579,0.2933918319783139,-26.653212225388373
-3.1141493055555557e-07,0.08354642458868194,0.11956191018070575,-30.551763965383554
-3.1087239583333334e-07,0.11818676148005315,0.1691351249343696,-29.045354329159633
-3.103298611111111e-07,0.05683364204515364,0.08133368769398638,-32.2249877767661
-3.097873263888889e-07,0.11505103623188018,0.1646476402536162,-29.16213730725515
-3.0924479166666665e-07,0.10394135220078203,0.14874875468428542,-29.60315902937991
-3.087022569444444e-07,0.06723448494484252,0.09621816241206661,-31.495121830373197
-3.0815972222222224e-07,0.050672656886401934,0.07251680345505124,-32.72330589347105
-3.076171875e-07,0.11546740588579744,0.16524349999756954,-29.146448563385885
-3.070746527777778e-07,0.08387173218605035,0.120027452517546,-30.534886528075194
-3.0653211805555555e-07,0.24053568936425687,0.344226657557281,-25.959247415940254
-3.059895833333333e-07,0.08893298087884871,0.1272705220395486,-30.280414159590197
-3.054470486111111e-07,0.08772662177709147,0.12554412142719357,-30.339728596742145
-3.0490451388888887e-07,0.06132115678687492,0.08775569602199994,-31.8949392634961
-3.043619791666667e-07,0.1724624671369139,0.24680819205469634,-27.40409670768329
-3.0381944444444446e-07,0.059138868109424564,0.08463265869124338,-32.05231257240183
-3.0327690972222223e-07,0.09484982777373067,0.13573802403597396,-30.000677186715116
-3.02734375e-07,0.1199376033394476,0.1716407258402628,-28.98148899042156
-3.0219184027777777e-07,0.08058501144958176,0.11532388068407275,-30.708499933612433
-3.0164930555555554e-07,0.09116764959543446,0.13046851958033448,-30.172635069707354
-3.011067708333333e-07,0.07879698341360099,0.11276506325423055,-30.80594673610394
-3.0056423611111113e-07,0.12037319320643869,0.17226409131412018,-28.96574483863915
-3.000217013888889e-07,0.17526007472613625,0.2508118021307734,-27.334212727857604
-2.994791666666667e-07,0.10743615368944508,0.153750107450057,-29.45953813506935
-2.9893663194444445e-07,0.24392682727120116,0.3490796590811234,-25.898446983129194
-2.983940972222222e-07,0.0918888825450736,0.13150066415825823,-30.13841295183921
-2.978515625e-07,0.14078655743511703,0.2014773201555841,-28.28543075781394
-2.9730902777777776e-07,0.08984624603548359,0.12857748074144787,-30.236043292242254
-2.967664930555556e-07,0.11318815471622544,0.16198170124367584,-29.233032855517898
-2.9622395833333335e-07,0.06569183782506027,0.09401050556398509,-31.59592853254532
-2.956814236111111e-07,0.047560822690934756,0.06806350886575654,-32.998549070245005
