 (-5.356899495578239245e-02-5.356899495578238551e-02j), (2.377948887043122017e-01+0.000000000000000000e+00j)
 (-4.230126468809886162e-04-4.230126468809887246e-04j), (2.401604447688495125e-01+0.000000000000000000e+00j)
 (-4.228491525922216713e-04+4.228491525922216713e-04j), (2.388086984462576001e-01+0.000000000000000000e+00j)
 (-4.172040763086742356e-04+4.172040763086742356e-04j), (2.391466350269053076e-01+0.000000000000000000e+00j)
 (-3.790857565548853424e-04-3.790857565548854508e-04j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-3.723612587195022374e-04+3.723612587195022374e-04j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-3.663661614776845448e-04-3.783048415457942472e-04j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-3.247091187449054669e-04-3.324728322735897245e-04j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-3.002754585543986293e-04-3.307468780462885982e-04j), (2.384707618656080885e-01+0.000000000000000000e+00j)
 (-2.896103665284251107e-04+2.896103665284250565e-04j), (2.404983813494984135e-01+0.000000000000000000e+00j)
 (-2.862514606946737691e-04-2.862514606946738233e-04j), (2.398225081882024989e-01+0.000000000000000000e+00j)
 (-2.851208686083251125e-04-2.908593489197541207e-04j), (2.404983813494984135e-01+0.000000000000000000e+00j)
 (-2.829340450329789584e-04-2.903302017363056597e-04j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-2.813924729383890182e-04-2.847828349231555948e-04j), (2.404983813494984135e-01+0.000000000000000000e+00j)
 (-2.803378581602994639e-04-2.803378581602994639e-04j), (2.401604447688512889e-01+0.000000000000000000e+00j)
 (-2.753211757069978088e-04-2.800901154333810985e-04j), (2.404983813494984135e-01+0.000000000000000000e+00j)
 (-2.672249721304245955e-04+2.705909201261651707e-04j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-2.479887718957350315e-04+2.479887718957350857e-04j), (2.398225081882024989e-01+0.000000000000000000e+00j)
 (-2.475018198811765281e-04+2.475018198811765823e-04j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-2.350277015029564299e-04+2.447022653795140616e-04j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-2.318745242420793766e-04+2.362304287197105094e-04j), (2.404983813494984135e-01+0.000000000000000000e+00j)
 (-2.233548318022707691e-04+2.233548318022707962e-04j), (2.404983813494984135e-01+0.000000000000000000e+00j)
 (-2.211847820449551363e-04-2.260369935611739696e-04j), (2.404983813494984135e-01+0.000000000000000000e+00j)
 (-2.074579246791717223e-04-2.074579246791717494e-04j), (2.404983813494984135e-01+0.000000000000000000e+00j)
 (-2.030523122387048690e-04-2.179153541570036671e-04j), (2.398225081882018883e-01+0.000000000000000000e+00j)
 (-2.023883084750842767e-04-2.023883084750842225e-04j), (2.404983813494984135e-01+0.000000000000000000e+00j)
 (-2.006487790956666640e-04-2.031213016509790254e-04j), (2.394845716075529873e-01+0.000000000000000000e+00j)
