 (-1.201767410839362789e-04+1.224740553666716085e-04j), (2.418501276720909088e-01+0.000000000000000000e+00j)
 (-1.128916316047833267e-04+1.205601628166474369e-04j), (2.404983813494984135e-01+0.000000000000000000e+00j)
 (-1.110468409004290486e-04+1.115583480372220397e-04j), (2.411742545107966873e-01+0.000000000000000000e+00j)
 (-1.109753142758202800e-04-1.143776331387803016e-04j), (2.408363179301467039e-01+0.000000000000000000e+00j)
 (-1.101301607130925780e-04+1.109344691380901974e-04j), (2.415121910914432013e-01+0.000000000000000000e+00j)
 (-1.082775221647730971e-04-1.090091032895999763e-04j), (2.428639374140361962e-01+0.000000000000000000e+00j)
 (-1.071907198804881826e-04+1.084340383994184502e-04j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-1.064614499601936802e-04+1.071463707332448239e-04j), (2.411742545107974089e-01+0.000000000000000000e+00j)
 (-1.063249247309684963e-04-1.085062642851651171e-04j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-1.061693073000875230e-04+1.079320838626303777e-04j), (2.425260008333879891e-01+0.000000000000000000e+00j)
 (-1.042162474025468740e-04-1.091458357699117055e-04j), (2.408363179301467039e-01+0.000000000000000000e+00j)
 (-1.032844470404636569e-04+1.053548413034311441e-04j), (2.418501276720914916e-01+0.000000000000000000e+00j)
 (-1.018632629023156100e-04+1.067516476932399785e-04j), (2.408363179301467039e-01+0.000000000000000000e+00j)
 (-1.017729277680229301e-04+1.023729404344983030e-04j), (2.425260008333879891e-01+0.000000000000000000e+00j)
 (-1.007581966141367417e-04-1.023131913222994824e-04j), (2.425260008333867956e-01+0.000000000000000000e+00j)
 (-9.673244260440526951e-05+9.709004909574452623e-05j), (2.388086984462576001e-01+0.000000000000000000e+00j)
 (-9.610950186908080966e-05+9.828789575191996077e-05j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-9.519223803392557067e-05+9.730769545975707956e-05j), (2.428639374140361962e-01+0.000000000000000000e+00j)
 (-9.493152441526581337e-05+9.663759686368719412e-05j), (2.418501276720914916e-01+0.000000000000000000e+00j)
 (-9.469690760499317121e-05+1.040804034217385400e-04j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-9.457037949789571163e-05+9.760715977908638067e-05j), (2.415121910914432013e-01+0.000000000000000000e+00j)
 (-9.396307935061388355e-05+9.602580157577726033e-05j), (2.418501276720927129e-01+0.000000000000000000e+00j)
 (-9.254094444381920348e-05+9.387239569556309255e-05j), (2.418501276720914916e-01+0.000000000000000000e+00j)
 (-9.217022527274507213e-05+9.348710620547618429e-05j), (2.415121910914432013e-01+0.000000000000000000e+00j)
 (-9.202632957378815797e-05+9.303824850174150895e-05j), (2.418501276720921023e-01+0.000000000000000000e+00j)
 (-9.161636805725388935e-05+9.181374498781664530e-05j), (2.293464741881157953e-01+0.000000000000000000e+00j)
 (-9.151941544407362207e-05+9.265216274520727765e-05j), (2.415121910914432013e-01+0.000000000000000000e+00j)
 (-9.123281589386873899e-05-9.468463409177457421e-05j), (2.418501276720914916e-01+0.000000000000000000e+00j)
 (-9.102803730129438756e-05+9.253553240107440631e-05j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-9.082991486152721327e-05-1.023125271467807679e-04j), (2.398225081882018883e-01+0.000000000000000000e+00j)
 (-9.061605480651761530e-05-9.152139310262951560e-05j), (2.418501276720914916e-01+0.000000000000000000e+00j)
 (-9.034347047769041516e-05+9.104838970383841287e-05j), (2.421880642527408922e-01+0.000000000000000000e+00j)
 (-8.570558452082650976e-05-9.242053559145227805e-05j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-8.479115404655115853e-05+8.569062928475836374e-05j), (2.418501276720914916e-01+0.000000000000000000e+00j)
 (-8.379509692514476962e-05+8.782303514637543665e-05j), (2.415121910914425907e-01+0.000000000000000000e+00j)
 (-8.216379489808072736e-05+8.271147718451189019e-05j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-8.196074797294494176e-05-8.257495791879159689e-05j), (2.421880642527390881e-01+0.000000000000000000e+00j)
 (-8.020211055268296359e-05+8.078406551033138984e-05j), (2.415121910914425907e-01+0.000000000000000000e+00j)
 (-8.003291749136469760e-05-8.145988137066677835e-05j), (2.418501276720909088e-01+0.000000000000000000e+00j)
